n, d, epsilon, tau, k, reconstruction_error, sparsity_coeff, sparsity (L1 norm), cost_func, memory_initial, memory_final, compression_ratio
2126,21,8.9017,0.01,259,1104.1,1,25.674,1129.7,44646,5.5607e+05,12.455
2126,21,8.9017,0.02,259,1104,1,51.348,1155.3,44646,5.5607e+05,12.455
2126,21,8.9017,0.03,259,1104.1,1,77.022,1181.1,44646,5.5607e+05,12.455
2126,21,8.9017,0.04,259,1104.1,1,102.7,1206.8,44646,5.5607e+05,12.455
2126,21,8.9017,0.05,259,1104.1,1,128.37,1232.5,44646,5.5607e+05,12.455
2126,21,8.9017,0.06,259,1104.2,1,154.04,1258.2,44646,5.5607e+05,12.455
2126,21,8.9017,0.07,259,1104.3,1,179.71,1284,44646,5.5607e+05,12.455
2126,21,8.9017,0.08,259,1104.1,1,205.4,1309.5,44646,5.5607e+05,12.455
2126,21,8.9017,0.09,259,1104.1,1,231.07,1335.1,44646,5.5607e+05,12.455
2126,21,8.9017,0.1,259,1104.1,1,256.73,1360.8,44646,5.5607e+05,12.455
2126,21,8.9017,0.11,259,1104.2,1,282.4,1386.6,44646,5.5607e+05,12.455
2126,21,8.9017,0.12,259,1104.2,1,308.08,1412.2,44646,5.5607e+05,12.455
2126,21,8.9017,0.13,259,1104.1,1,333.76,1437.9,44646,5.5607e+05,12.455
2126,21,8.9017,0.14,259,1104.1,0.99999,359.44,1463.5,44646,5.5607e+05,12.455
2126,21,8.9017,0.15,259,1104,1,385.13,1489.1,44646,5.5607e+05,12.455
2126,21,8.9017,0.16,259,1104,1,410.8,1514.8,44646,5.5607e+05,12.455
2126,21,8.9017,0.17,259,1104,1,436.48,1540.5,44646,5.5607e+05,12.455
2126,21,8.9017,0.18,259,1104.1,1,462.14,1566.2,44646,5.5607e+05,12.455
2126,21,8.9017,0.19,259,1104.2,1,487.79,1592,44646,5.5607e+05,12.455
2126,21,8.9017,0.2,259,1104.2,1,513.46,1617.7,44646,5.5607e+05,12.455
2126,21,8.9017,0.21,259,1104.3,1,539.12,1643.4,44646,5.5607e+05,12.455
2126,21,8.9017,0.22,259,1104.3,1,564.78,1669.1,44646,5.5607e+05,12.455
2126,21,8.9017,0.23,259,1104.5,1,590.42,1694.9,44646,5.5607e+05,12.455
2126,21,8.9017,0.24,259,1104.6,1,616.06,1720.7,44646,5.5607e+05,12.455
2126,21,8.9017,0.25,259,1104.5,1,641.75,1746.2,44646,5.5607e+05,12.455
2126,21,8.9017,0.26,259,1104.3,1,667.48,1771.8,44646,5.5607e+05,12.455
2126,21,8.9017,0.27,259,1104.4,1,693.14,1797.6,44646,5.5607e+05,12.455
2126,21,8.9017,0.28,259,1104.5,1,718.78,1823.3,44646,5.5607e+05,12.455
2126,21,8.9017,0.29,259,1104.5,1,744.46,1849,44646,5.5607e+05,12.455
2126,21,8.9017,0.3,259,1104.7,1,770.07,1874.8,44646,5.5607e+05,12.455
2126,21,8.9017,0.31,259,1104.8,1,795.7,1900.4,44646,5.5607e+05,12.455
2126,21,8.9017,0.32,259,1104.5,1,821.42,1926,44646,5.5607e+05,12.455
2126,21,8.9017,0.33,259,1104.2,1,847.18,1951.4,44646,5.5607e+05,12.455
2126,21,8.9017,0.34,259,1104.3,1,872.82,1977.1,44646,5.5607e+05,12.455
2126,21,8.9017,0.35,259,1104.3,1,898.47,2002.8,44646,5.5607e+05,12.455
2126,21,8.9017,0.36,259,1104.2,1,924.17,2028.4,44646,5.5607e+05,12.455
2126,21,8.9017,0.37,259,1104.4,1,949.8,2054.3,44646,5.5607e+05,12.455
2126,21,8.9017,0.38,259,1104.4,0.99999,975.49,2079.8,44646,5.5607e+05,12.455
2126,21,8.9017,0.39,259,1104.5,0.99999,1001.1,2105.6,44646,5.5607e+05,12.455
2126,21,8.9017,0.4,259,1104.1,0.99999,1026.9,2131,44646,5.5607e+05,12.455
2126,21,8.9017,0.41,259,1104,0.99999,1052.6,2156.6,44646,5.5607e+05,12.455
2126,21,8.9017,0.42,259,1103.9,0.99999,1078.3,2182.2,44646,5.5607e+05,12.455
2126,21,8.9017,0.43,259,1104.1,1,1103.9,2208.1,44646,5.5607e+05,12.455
2126,21,8.9017,0.44,259,1104.2,1,1129.5,2233.7,44646,5.5607e+05,12.455
2126,21,8.9017,0.45,259,1104.3,1,1155.2,2259.5,44646,5.5607e+05,12.455
2126,21,8.9017,0.46,259,1104.2,1,1180.9,2285.1,44646,5.5607e+05,12.455
2126,21,8.9017,0.47,259,1104.1,1,1206.6,2310.7,44646,5.5607e+05,12.455
2126,21,8.9017,0.48,259,1104.2,1,1232.2,2336.4,44646,5.5607e+05,12.455
2126,21,8.9017,0.49,259,1104.5,0.99999,1257.8,2362.3,44646,5.5607e+05,12.455
2126,21,8.9017,0.5,259,1104.5,1,1283.5,2387.9,44646,5.5607e+05,12.455
2126,21,8.9017,1,259,1105.7,0.99999,2566.3,3672,44646,5.5607e+05,12.455
2126,21,8.9017,1.5,259,1105,0.99999,3849.6,4954.7,44646,5.5607e+05,12.455
2126,21,8.9017,2,259,1105,0.99999,5132.4,6237.4,44646,5.5607e+05,12.455
2126,21,8.9017,2.5,259,1106,0.99999,6414,7520,44646,5.5607e+05,12.455
