No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost
351,34,0.70972,95,11934,3486,0.29211,1,0.010526,0.53043
351,34,0.70972,95,11934,3486,0.29211,1,0.010526,0.53043
351,34,0.70972,95,11934,3486,0.29211,1,0.010526,0.53043
351,34,0.70972,97,11934,3552,0.29764,1,0.010309,0.66744
351,34,0.70972,95,11934,3486,0.29211,1,0.010526,0.53043
351,34,0.70972,95,11934,3486,0.29211,1,0.010526,0.53043
351,34,0.70972,97,11934,3552,0.29764,1,0.010309,0.66744
351,34,0.70972,97,11934,3552,0.29764,1,0.010309,0.66744
351,34,0.70972,95,11934,3486,0.29211,1,0.010526,0.53043
351,34,0.70972,95,11934,3486,0.29211,1,0.010526,0.53043
