n, d, epsilon, tau, k, reconstruction_error, sparsity_coeff, sparsity (L1 norm), cost_func, memory_initial, memory_final, compression_ratio

351,34,1.4024,0.01,93,10.3,0.19091,4.1118,14.412,11934,9394,0.78716
351,34,1.4024,0.02,93,15.241,0.14328,6.9154,22.157,11934,7839,0.65686
351,34,1.4024,0.03,93,18.505,0.11096,9.2016,27.707,11934,6784,0.56846
351,34,1.4024,0.04,93,21.053,0.087339,11.168,32.221,11934,6013,0.50385
351,34,1.4024,0.05,93,23.048,0.070337,12.933,35.981,11934,5458,0.45735
351,34,1.4024,0.06,93,24.677,0.057746,14.552,39.229,11934,5047,0.42291
351,34,1.4024,0.07,93,26.102,0.048249,16.065,42.168,11934,4737,0.39693
351,34,1.4024,0.08,93,27.387,0.040652,17.48,44.867,11934,4489,0.37615
351,34,1.4024,0.09,93,28.557,0.036026,18.794,47.351,11934,4338,0.3635
351,34,1.4024,0.1,93,29.687,0.032227,20.005,49.691,11934,4214,0.35311
351,34,1.4024,0.11,93,30.788,0.029409,21.114,51.902,11934,4122,0.3454
351,34,1.4024,0.12,93,31.874,0.02754,22.127,54.002,11934,4061,0.34029
351,34,1.4024,0.13,93,32.934,0.025365,23.044,55.978,11934,3990,0.33434
351,34,1.4024,0.14,93,33.951,0.02368,23.872,57.823,11934,3935,0.32973
351,34,1.4024,0.15,93,34.96,0.022578,24.604,59.564,11934,3899,0.32671
351,34,1.4024,0.16,93,35.958,0.021322,25.239,61.197,11934,3858,0.32328
351,34,1.4024,0.17,93,36.939,0.020249,25.783,62.722,11934,3823,0.32035
351,34,1.4024,0.18,93,37.881,0.019392,26.255,64.135,11934,3795,0.318
351,34,1.4024,0.19,93,38.786,0.018656,26.646,65.432,11934,3771,0.31599
351,34,1.4024,0.2,93,39.684,0.017768,26.947,66.631,11934,3742,0.31356
351,34,1.4024,0.21,93,40.579,0.016971,27.158,67.736,11934,3716,0.31138
351,34,1.4024,0.22,93,41.469,0.016389,27.281,68.75,11934,3697,0.30979
351,34,1.4024,0.23,93,42.343,0.015807,27.331,69.673,11934,3678,0.3082
351,34,1.4024,0.24,93,43.199,0.015072,27.311,70.51,11934,3654,0.30618
351,34,1.4024,0.25,93,44.029,0.014214,27.238,71.267,11934,3626,0.30384
351,34,1.4024,0.26,93,44.837,0.013418,27.121,71.958,11934,3600,0.30166
351,34,1.4024,0.27,93,45.621,0.012713,26.964,72.584,11934,3577,0.29973
351,34,1.4024,0.28,93,46.387,0.012346,26.763,73.15,11934,3565,0.29873
351,34,1.4024,0.29,93,47.141,0.011519,26.518,73.659,11934,3538,0.29646
351,34,1.4024,0.3,93,47.863,0.010691,26.259,74.122,11934,3511,0.2942
351,34,1.4024,0.31,93,48.567,0.010385,25.971,74.538,11934,3501,0.29336
351,34,1.4024,0.32,93,49.272,0.0099868,25.628,74.901,11934,3488,0.29227
351,34,1.4024,0.33,93,49.976,0.0097111,25.234,75.21,11934,3479,0.29152
351,34,1.4024,0.34,93,50.674,0.009466,24.795,75.469,11934,3471,0.29085
351,34,1.4024,0.35,93,51.365,0.0091903,24.308,75.674,11934,3462,0.2901
351,34,1.4024,0.36,93,52.043,0.008884,23.791,75.833,11934,3452,0.28926
351,34,1.4024,0.37,93,52.709,0.0084857,23.241,75.95,11934,3439,0.28817
351,34,1.4024,0.38,93,53.362,0.0081181,22.663,76.025,11934,3427,0.28716
351,34,1.4024,0.39,93,54.001,0.0078118,22.064,76.065,11934,3417,0.28632
351,34,1.4024,0.4,93,54.63,0.0074442,21.437,76.066,11934,3405,0.28532
351,34,1.4024,0.41,93,55.25,0.0071685,20.776,76.026,11934,3396,0.28457
351,34,1.4024,0.42,93,55.857,0.0068008,20.104,75.961,11934,3384,0.28356
351,34,1.4024,0.43,93,56.43,0.0065864,19.442,75.872,11934,3377,0.28297
351,34,1.4024,0.44,93,56.984,0.0062801,18.764,75.748,11934,3367,0.28214
351,34,1.4024,0.45,93,57.51,0.0058512,18.101,75.61,11934,3353,0.28096
351,34,1.4024,0.46,93,58.019,0.0056674,17.44,75.459,11934,3347,0.28046
351,34,1.4024,0.47,93,58.519,0.0054836,16.764,75.283,11934,3341,0.27996
351,34,1.4024,0.48,93,59.007,0.0052385,16.078,75.084,11934,3333,0.27929
351,34,1.4024,0.49,93,59.478,0.0049628,15.398,74.876,11934,3324,0.27853
351,34,1.4024,0.5,93,59.93,0.0046258,14.732,74.661,11934,3313,0.27761
351,34,1.4024,0.51,93,60.362,0.0043807,14.079,74.442,11934,3305,0.27694
351,34,1.4024,0.52,93,60.781,0.0042276,13.431,74.213,11934,3300,0.27652
