n, d, epsilon, tau, k, reconstruction_error, sparsity_coeff, sparsity (L1 norm), cost_func, memory_initial, memory_final, compression_ratio
569,30,30.395,1,82,1727.8,1,328.32,2056.2,17070,49118,2.8774
569,30,30.395,2,82,1727.9,1,656.63,2384.5,17070,49118,2.8774
569,30,30.395,3,82,1727.9,1,984.93,2712.8,17070,49118,2.8774
569,30,30.395,4,82,1728.3,1,1313,3041.2,17070,49118,2.8774
569,30,30.395,5,82,1728.1,1,1641.3,3369.5,17070,49118,2.8774
569,30,30.395,6,82,1728.3,1,1969.4,3697.7,17070,49118,2.8774
569,30,30.395,7,82,1728.3,1,2297.6,4025.9,17070,49118,2.8774
569,30,30.395,8,82,1728.3,1,2625.8,4354.1,17070,49118,2.8774
569,30,30.395,9,82,1728.3,1,2954,4682.3,17070,49118,2.8774
569,30,30.395,10,82,1728,1,3282.6,5010.7,17070,49118,2.8774
569,30,30.395,11,82,1728.2,1,3610.4,5338.6,17070,49118,2.8774
569,30,30.395,12,82,1728.2,1,3938.6,5666.8,17070,49118,2.8774
569,30,30.395,13,82,1728.5,1,4266.8,5995.3,17070,49118,2.8774
569,30,30.395,14,82,1728.5,1,4595,6323.5,17070,49118,2.8774
569,30,30.395,15,82,1728.5,1,4923.4,6651.9,17070,49118,2.8774
569,30,30.395,16,82,1728.5,1,5251.3,6979.8,17070,49118,2.8774
569,30,30.395,17,82,1728.7,1,5578.9,7307.7,17070,49118,2.8774
569,30,30.395,18,82,1728.4,1,5907.7,7636,17070,49118,2.8774
569,30,30.395,19,82,1728.5,1,6235.5,7963.9,17070,49118,2.8774
569,30,30.395,20,82,1728.6,1,6563,8291.6,17070,49118,2.8774
569,30,30.395,21,82,1728.1,1,6894,8622,17070,49118,2.8774
569,30,30.395,22,82,1728.1,1,7222.2,8950.2,17070,49118,2.8774
569,30,30.395,23,82,1727.8,1,7550.8,9278.7,17070,49118,2.8774
