Dataset name,Algorithm,No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost,Max sparsity(m)
iono-mod-norm,dp,351.00000,34.00000,0.70972,161.00000,11934.00000,5664.00000,0.47461,1.00000,0.00621,0.27095,1
iono-mod-norm,dl,351.00000,34.00000,0.70972,120.00000,11934.00000,4773.00000,0.39995,2.00000,0.01382,0.31037,2
iono-mod-norm,dch,351.00000,34.00000,0.70972,95.00000,11934.00000,3486.00000,0.29211,1.00000,0.01053,0.53043,34
CTG-mod-norm,dch,2126.00000,21.00000,0.18247,346.00000,44646.00000,12606.00000,0.28235,2.00000,0.00531,0.17105,21
wdbc-mod-norm,dch,569.00000,30.00000,0.32456,61.00000,17070.00000,3354.00000,0.19649,2.00000,0.03103,0.28261,30
iono-mod-norm,dchperceptron,351.00000,34.00000,0.70972,94.00000,11934.00000,3453.00000,0.28934,1.00000,0.01064,0.69677,34
CTG-mod-norm,dchperceptron,2126.00000,21.00000,0.18247,314.00000,44646.00000,12030.00000,0.26945,3.00000,0.00861,0.16784,21
wdbc-mod-norm,dchperceptron,569.00000,30.00000,0.32456,60.00000,17070.00000,2818.00000,0.16508,2.00000,0.03158,0.31835,30
iono-mod-norm,dch,351.00000,34.00000,0.70972,95.00000,11934.00000,3486.00000,0.29211,1.00000,0.01053,0.53043,34
CTG-mod-norm,dch,2126.00000,21.00000,0.18247,346.00000,44646.00000,12606.00000,0.28235,2.00000,0.00531,0.17105,21
wdbc-mod-norm,dch,569.00000,30.00000,0.32456,61.00000,17070.00000,3354.00000,0.19649,2.00000,0.03103,0.28261,30
iono-mod-norm,dch,351.00000,34.00000,0.70972,95.00000,11934.00000,3486.00000,0.29211,1.00000,0.01053,0.53043,34
CTG-mod-norm,dch,2126.00000,21.00000,0.18247,346.00000,44646.00000,12606.00000,0.28235,2.00000,0.00531,0.17105,21
wdbc-mod-norm,dch,569.00000,30.00000,0.32456,61.00000,17070.00000,3354.00000,0.19649,2.00000,0.03103,0.28261,30
iono-mod-norm,dchperceptron,351.00000,34.00000,0.70972,94.00000,11934.00000,3453.00000,0.28934,1.00000,0.01064,0.69677,34
CTG-mod-norm,dchperceptron,2126.00000,21.00000,0.18247,314.00000,44646.00000,12030.00000,0.26945,3.00000,0.00861,0.16784,21
wdbc-mod-norm,dchperceptron,569.00000,30.00000,0.32456,60.00000,17070.00000,2818.00000,0.16508,2.00000,0.03158,0.31835,30
iono-mod-norm,dl,351.00000,34.00000,0.70972,120.00000,11934.00000,4773.00000,0.39995,2.00000,0.01382,0.31037,2
CTG-mod-norm,dl,2126.00000,21.00000,0.18247,628.00000,44646.00000,17682.00000,0.39605,2.00000,0.00271,0.08639,2
wdbc-mod-norm,dl,569.00000,30.00000,0.32456,106.00000,17070.00000,4569.00000,0.26766,2.00000,0.01711,0.18908,2
iono-mod-norm,dp,351.00000,34.00000,0.70972,161.00000,11934.00000,5664.00000,0.47461,1.00000,0.00621,0.27095,1
CTG-mod-norm,dp,2126.00000,21.00000,0.18247,1417.00000,44646.00000,30466.00000,0.68239,1.00000,0.00071,0.04182,1
wdbc-mod-norm,dp,569.00000,30.00000,0.32456,329.00000,17070.00000,10110.00000,0.59227,1.00000,0.00304,0.11313,1
iono-mod-norm,dp,351.00000,34.00000,0.70972,161.00000,11934.00000,5664.00000,0.47461,1.00000,0.00621,0.27095,1
CTG-mod-norm,dp,2126.00000,21.00000,0.18247,1417.00000,44646.00000,30466.00000,0.68239,1.00000,0.00071,0.04182,1
wdbc-mod-norm,dp,569.00000,30.00000,0.32456,329.00000,17070.00000,10110.00000,0.59227,1.00000,0.00304,0.11313,1
mnist1,dp,1000.00000,784.00000,5.47235,723.00000,784000.00000,567109.00000,0.72335,1.00000,0.00138,1.23875,1
mnist1,dch,1000.00000,784.00000,5.47235,187.00000,784000.00000,147421.00000,0.18804,1.00000,0.00535,4.72191,10
mnist1,dchperceptron,1000.00000,784.00000,5.47235,190.00000,784000.00000,150580.00000,0.19207,2.00000,0.00953,4.63309,10
mnist1,dch,1000.00000,784.00000,5.47235,187.00000,784000.00000,147421.00000,0.18804,1.00000,0.00535,4.72191,10.00000
mnist1,dchperceptron,1000.00000,784.00000,5.47235,190.00000,784000.00000,150580.00000,0.19207,2.00000,0.00953,4.63309,10.00000
mnist1,dch,1000.00000,784.00000,5.47235,225.00000,784000.00000,177175.00000,0.22599,1.00000,0.00444,4.40034,5.00000
mnist1,dchperceptron,1000.00000,784.00000,5.47235,232.00000,784000.00000,182656.00000,0.23298,1.00000,0.00431,5.20185,5.00000
