Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Max actual sparsity,Sparsity coeff,Final cost,Max allowed sparsity(m),Stopping criterion

mnist1-ft,dp,1000.00000,784.00000,82.51119,727.00000,784000.00000,570241.00000,0.72735,1.00000,1.00000,82.51055,1.00000,max
mnist1-ft,dch,1000.00000,784.00000,82.51119,139.00000,784000.00000,113939.00000,0.14533,9.00000,3.05100,82.49485,10.00000,max
mnist1-ft,dchperceptron,1000.00000,784.00000,82.51119,133.00000,784000.00000,108873.00000,0.13887,10.00000,2.86700,82.50976,10.00000,max

mnist1-ft,dp,1000.00000,784.00000,82.51119,497.00000,784000.00000,390151.00000,0.49764,1.00000,1.00000,41.49741,1.00000,mean
mnist1-ft,dl,1000.00000,784.00000,82.51119,124.00000,784000.00000,99844.00000,0.12735,2.00000,1.87600,72.26693,2.00000,mean
mnist1-ft,dch,1000.00000,784.00000,82.51119,36.00000,784000.00000,36862.00000,0.04702,5.00000,4.83700,82.06172,10.00000,mean
mnist1-ft,dchperceptron,1000.00000,784.00000,82.51119,36.00000,784000.00000,36856.00000,0.04701,5.00000,4.83400,82.15813,10.00000,mean
mnist1-ft,dl,1000.00000,784.00000,82.51119,339.00000,784000.00000,267759.00000,0.34153,2.00000,1.66100,82.47487,2.00000,max
mnist1-ft,KSVD,1000.00000,784.00000,82.51119,50.00000,784000.00000,42107.00000,0.05371,50.00000,2.90700,70.32775,50.00000,max
mnist1-ft,KSVD,1000.00000,784.00000,82.51119,50.00000,784000.00000,42107.00000,0.05371,50.00000,2.90700,70.32775,50.00000,mean
