Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),# neighbours,error
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,45.00000,15.96244,
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,45.00000,15.96244,
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,5.00000,0.93897,
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,10.00000,1.09546,
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,15.00000,1.87793,
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,20.00000,2.66041,
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,25.00000,4.22535,
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,30.00000,6.10329,
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,35.00000,9.07668,
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,40.00000,12.20657,
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,45.00000,15.96244,
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,1.00000,1.25196,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,1.00000,5.78231,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,5.00000,3.57143,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,10.00000,2.89116,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,15.00000,2.97619,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,20.00000,3.06122,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,25.00000,3.48639,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,30.00000,4.76190,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,35.00000,6.97279,
