Dataset name,Algorithm,No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost,Max sparsity(m),Stopping criterion
iono-mod-norm,dch,351.00000,34.00000,0.70972,95.00000,11934.00000,13726.00000,1.15016,21.00000,15.58689,0.70923,34.00000,max
iono-mod-norm,dchperceptron,351.00000,34.00000,0.70972,94.00000,11934.00000,7308.00000,0.61237,16.00000,11.98291,0.70612,34.00000,max
CTG-mod-norm,dch,2126.00000,21.00000,0.18247,346.00000,44646.00000,80246.00000,1.79738,21.00000,17.74506,0.18210,21.00000,max
CTG-mod-norm,dchperceptron,2126.00000,21.00000,0.18247,314.00000,44646.00000,44646.00000,1.00000,21.00000,18.04610,0.18221,21.00000,max
wdbc-mod-norm,dch,569.00000,30.00000,0.32456,61.00000,17070.00000,28754.00000,1.68448,27.00000,24.21265,0.32434,30.00000,max
wdbc-mod-norm,dchperceptron,569.00000,30.00000,0.32456,60.00000,17070.00000,10962.00000,0.64218,18.00000,16.20738,0.32426,30.00000,max
mnist1,dch,1000.00000,784.00000,5.47235,187.00000,784000.00000,162055.00000,0.20670,10.00000,8.31700,5.47158,10.00000,max
mnist1,dchperceptron,1000.00000,784.00000,5.47235,190.00000,784000.00000,157060.00000,0.20033,10.00000,8.29000,5.47075,10.00000,max
mnist2,dch,2000.00000,784.00000,5.04580,406.00000,1568000.00000,348590.00000,0.22232,10.00000,8.17300,5.04354,10.00000,max
mnist2,dchperceptron,2000.00000,784.00000,5.04580,393.00000,1568000.00000,324182.00000,0.20675,10.00000,8.23150,5.04368,10.00000,max
