Dataset name,Algorithm,No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost,Max sparsity(m),
iono-mod-norm,dch,351,34,0.70972,95,11934,13726,1.15016,21,1.80342,0.70924,34,max
iono-mod-norm,dch,351,34,0.70972,95,11934,4050,0.33937,21,1.80342,0.70924,34,max
iono-mod-norm,dch,351,34,0.70972,34,11934,1992,0.16692,Inf,Inf,0.72346,34,mean
iono-mod-norm,dchperceptron,351,34,0.70972,94,11934,4397,0.36844,16,2.34473,0.70972,34,max
iono-mod-norm,dchperceptron,351,34,0.70972,34,11934,2702,0.22641,Inf,Inf,0.73814,34,mean
iono-mod-norm,dch,351,34,0.70972,95,11934,4050,0.33937,21,1.80342,0.70924,34,max
iono-mod-norm,dch,351,34,0.70972,34,11934,1992,0.16692,34,12.33333,0.72346,34,mean
iono-mod-norm,dchperceptron,351,34,0.70972,94,11934,4397,0.36844,16,2.34473,0.70972,34,max
iono-mod-norm,dchperceptron,351,34,0.70972,34,11934,2702,0.22641,34,13.34473,0.73814,34,mean
iono-mod-norm,dch,351,34,0.70972,95,11934,4050,0.33937,21,1.80342,0.70924,34,max
iono-mod-norm,dch,351,34,0.70972,34,11934,1122,0.09402,4,4,0.704,34,mean
iono-mod-norm,dchperceptron,351,34,0.70972,94,11934,4397,0.36844,16,2.34473,0.70972,34,max
iono-mod-norm,dchperceptron,351,34,0.70972,34,11934,1122,0.09402,7,7,0.70221,34,mean
iono-mod-norm,dch,351,34,0.70972,95,11934,4050,0.33937,21,1.80342,0.70924,34,max
iono-mod-norm,dch,351,34,0.70972,34,11934,1156,0.09687,4,3.7094,0.704,34,mean
iono-mod-norm,dchperceptron,351,34,0.70972,94,11934,4397,0.36844,16,2.34473,0.70972,34,max
iono-mod-norm,dchperceptron,351,34,0.70972,34,11934,1156,0.09687,7,6.4188,0.70221,34,mean
CTG-mod-norm,dch,2126.00000,21.00000,0.18247,346.00000,44646.00000,19632.00000,0.43973,21.00000,3.48965,0.18246,21.00000,max
CTG-mod-norm,dch,2126.00000,21.00000,0.18247,86.00000,44646.00000,1806.00000,0.04045,14.00000,13.47413,0.18238,21.00000,mean
CTG-mod-norm,dchperceptron,2126.00000,21.00000,0.18247,314.00000,44646.00000,20764.00000,0.46508,21.00000,3.90640,0.18246,21.00000,max
CTG-mod-norm,dchperceptron,2126.00000,21.00000,0.18247,77.00000,44646.00000,1617.00000,0.03622,14.00000,13.52916,0.18133,21.00000,mean
wdbc-mod-norm,dch,569.00000,30.00000,0.32456,61.00000,17070.00000,4260.00000,0.24956,27.00000,2.68893,0.32453,30.00000,max
wdbc-mod-norm,dch,569.00000,30.00000,0.32456,20.00000,17070.00000,600.00000,0.03515,8.00000,7.75395,0.32207,30.00000,mean
wdbc-mod-norm,dchperceptron,569.00000,30.00000,0.32456,60.00000,17070.00000,4411.00000,0.25841,18.00000,2.84710,0.32456,30.00000,max
wdbc-mod-norm,dchperceptron,569.00000,30.00000,0.32456,18.00000,17070.00000,540.00000,0.03163,12.00000,11.65202,0.32396,30.00000,mean
mnist1,dch,1000.00000,784.00000,5.47235,187.00000,784000.00000,150055.00000,0.19140,10.00000,2.31700,5.47195,10.00000,max
mnist1,dch,1000.00000,784.00000,5.47235,76.00000,784000.00000,59600.00000,0.07602,3.00000,2.84600,5.30769,10.00000,mean
mnist1,dchperceptron,1000.00000,784.00000,5.47235,190.00000,784000.00000,153658.00000,0.19599,10.00000,2.94400,5.47211,10.00000,max
mnist1,dchperceptron,1000.00000,784.00000,5.47235,81.00000,784000.00000,63505.00000,0.08100,3.00000,2.83600,5.46622,10.00000,mean
