Dataset name,Algorithm,No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost,Max sparsity(m)
iono-mod-norm,KSVD,351.00000,34.00000,0.70972,50.00000,11934.00000,2501.00000,0.20957,2.28205,2.28205,0.44193,50.00000,max
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,50.00000,44646.00000,10787.00000,0.24161,4.57996,4.57996,0.15056,50.00000,max
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,50.00000,17070.00000,2341.00000,0.13714,1.47803,1.47803,0.24329,50.00000,max
iono-mod-norm,KSVD,351.00000,34.00000,0.70972,50.00000,11934.00000,2501.00000,0.20957,2.28205,2.28205,0.44193,50.00000,max
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,50.00000,44646.00000,10787.00000,0.24161,4.57996,4.57996,0.15056,50.00000,max
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,50.00000,17070.00000,2341.00000,0.13714,1.47803,1.47803,0.24329,50.00000,max
mnist1,KSVD,1000.00000,784.00000,5.47235,50.00000,784000.00000,41115.00000,0.05244,1.91500,1.91500,4.80804,50.00000,max
mnist2,KSVD,2000.00000,784.00000,5.04580,50.00000,1568000.00000,45747.00000,0.02918,3.27350,3.27350,4.61143,50.00000,max
iono-mod-norm,KSVD,351.00000,34.00000,0.70972,100.00000,11934.00000,4242.00000,0.35546,2.39886,2.39886,1.98170,100.00000,max
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,100.00000,44646.00000,8855.00000,0.19834,3.17733,3.17733,0.14608,100.00000,max
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,100.00000,17070.00000,3802.00000,0.22273,1.40949,1.40949,0.29378,100.00000,max
mnist1,KSVD,1000.00000,784.00000,5.47235,100.00000,784000.00000,79758.00000,0.10173,1.35800,1.35800,4.56903,100.00000,max
mnist2,KSVD,2000.00000,784.00000,5.04580,100.00000,1568000.00000,82622.00000,0.05269,2.11100,2.11100,4.47930,100.00000,max
iono-mod-norm,KSVD,351.00000,34.00000,0.70972,10.00000,11934.00000,1805.00000,0.15125,4.17379,4.17379,0.67610,10.00000,max
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,10.00000,44646.00000,18140.00000,0.40631,8.43368,8.43368,0.20913,10.00000,max
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,10.00000,17070.00000,1852.00000,0.10849,2.72759,2.72759,0.27944,10.00000,max
mnist1,KSVD,1000.00000,784.00000,5.47235,10.00000,784000.00000,12860.00000,0.01640,5.02000,5.02000,5.40696,10.00000,max
mnist2,KSVD,2000.00000,784.00000,5.04580,10.00000,1568000.00000,22028.00000,0.01405,7.09400,7.09400,5.28631,10.00000,max
iono-mod-norm,KSVD,351.00000,34.00000,1.41945,50.00000,11934.00000,2181.00000,0.18276,1.37037,1.37037,0.75693,50.00000,max
CTG-mod-norm,KSVD,2126.00000,21.00000,0.36493,50.00000,44646.00000,4620.00000,0.10348,1.67921,1.67921,0.27741,50.00000,max
wdbc-mod-norm,KSVD,569.00000,30.00000,0.64912,50.00000,17070.00000,2095.00000,0.12273,1.04569,1.04569,0.31453,50.00000,max
mnist1,KSVD,1000.00000,784.00000,10.94470,50.00000,784000.00000,39358.00000,0.05020,0.15800,0.15800,8.28218,50.00000,max
mnist2,KSVD,2000.00000,784.00000,10.09160,50.00000,1568000.00000,39815.00000,0.02539,0.30750,0.30750,7.54867,50.00000,max
mnist3,KSVD,10000.00000,784.00000,8.04547,50.00000,7840000.00000,46788.00000,0.00597,0.75880,0.75880,5.94588,50.00000,max
