Dataset name,Algorithm,No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost,Max sparsity(m)
iono-mod-norm,KSVD,351.00000,34.00000,0.70972,50.00000,11934.00000,1859.00000,0.15577,0.45299,0.45299,3.67336,50.00000,max
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,50.00000,44646.00000,3192.00000,0.07150,1.00753,1.00753,0.34627,50.00000,max
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,50.00000,17070.00000,1672.00000,0.09795,0.30228,0.30228,1.14619,50.00000,max
mnist1,KSVD,1000.00000,784.00000,5.47235,50.00000,784000.00000,39200.00000,0.05000,0.00000,0.00000,9.27148,50.00000,max
mnist2,KSVD,2000.00000,784.00000,5.04580,50.00000,1568000.00000,39200.00000,0.02500,0.00000,0.00000,9.25807,50.00000,max
mnist3,KSVD,10000.00000,784.00000,4.02273,50.00000,7840000.00000,39200.00000,0.00500,0.00000,0.00000,9.24066,50.00000,max
iono-mod-norm,KSVD,351.00000,34.00000,0.70972,100.00000,11934.00000,3559.00000,0.29822,0.45299,0.45299,4.39921,100.00000,max
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,100.00000,44646.00000,4241.00000,0.09499,1.00706,1.00706,0.29707,100.00000,max
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,100.00000,17070.00000,3172.00000,0.18582,0.30228,0.30228,1.14386,100.00000,max
mnist1,KSVD,1000.00000,784.00000,5.47235,100.00000,784000.00000,78400.00000,0.10000,0.00000,0.00000,9.27148,100.00000,max
mnist2,KSVD,2000.00000,784.00000,5.04580,100.00000,1568000.00000,78400.00000,0.05000,0.00000,0.00000,9.25807,100.00000,max
mnist3,KSVD,10000.00000,784.00000,4.02273,100.00000,7840000.00000,78400.00000,0.01000,0.00000,0.00000,9.24066,100.00000,max
iono-mod-norm,KSVD,351.00000,34.00000,0.70972,100.00000,11934.00000,4098.00000,0.34339,1.98860,1.98860,1.98353,100.00000,max
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,100.00000,44646.00000,8842.00000,0.19805,3.17121,3.17121,0.14584,100.00000,max
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,100.00000,17070.00000,3811.00000,0.22326,1.42531,1.42531,0.36022,100.00000,max
iono-mod-norm,KSVD,351.00000,34.00000,0.70972,50.00000,11934.00000,2501.00000,0.20957,2.28205,2.28205,0.44193,50.00000,max
