Dataset,Algorithm,No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Max actual sparsity,Sparsity coeff,Final cost,Max allowed sparsity(m)
mnist1,dch,1000.00000,784.00000,5.47235,177.00000,784000.00000,143127.00000,0.18256,33.00000,2.76800,5.47232,50.00000,max
mnist1,dch,1000.00000,784.00000,5.47235,173.00000,784000.00000,140701.00000,0.17947,81.00000,3.12100,5.47232,100.00000,max
mnist1,dch,1000.00000,784.00000,5.47235,187.00000,784000.00000,150055.00000,0.19140,10.00000,2.31700,5.47195,10.00000,max
iono-mod-norm,dp,351.00000,34.00000,0.70972,161.00000,11934.00000,5664.00000,0.47461,1.00000,1.00000,0.70232,1.00000,max
iono-mod-norm,dl,351.00000,34.00000,0.70972,120.00000,11934.00000,4773.00000,0.39995,2.00000,1.65812,0.70867,2.00000,max
iono-mod-norm,dch,351.00000,34.00000,0.70972,95.00000,11934.00000,4050.00000,0.33937,21.00000,1.80342,0.70924,34.00000,max
iono-mod-norm,dchperceptron,351.00000,34.00000,0.70972,94.00000,11934.00000,4397.00000,0.36844,16.00000,2.34473,0.70972,34.00000,max
iono-mod-norm,dp,351.00000,34.00000,0.70972,129.00000,11934.00000,4608.00000,0.38612,1.00000,1.00000,0.43046,1.00000,mean
iono-mod-norm,dl,351.00000,34.00000,0.70972,73.00000,11934.00000,3316.00000,0.27786,2.00000,1.79202,0.56023,2.00000,mean
iono-mod-norm,dch,351.00000,34.00000,0.70972,34.00000,11934.00000,3375.00000,0.28281,4.00000,3.70940,0.70400,34.00000,mean
iono-mod-norm,dchperceptron,351.00000,34.00000,0.70972,34.00000,11934.00000,5277.00000,0.44218,7.00000,6.41880,0.70221,34.00000,mean
iono-mod-norm,KSVD,351.00000,34.00000,0.70972,50.00000,11934.00000,3458.00000,0.28976,50.00000,5.00855,0.47261,50.00000,mean
CTG-mod-norm,dp,2126.00000,21.00000,0.18247,1417.00000,44646.00000,30466.00000,0.68239,1.00000,1.00000,0.18228,1.00000,max
CTG-mod-norm,dl,2126.00000,21.00000,0.18247,628.00000,44646.00000,17682.00000,0.39605,2.00000,1.70461,0.18243,2.00000,max
CTG-mod-norm,dch,2126.00000,21.00000,0.18247,346.00000,44646.00000,19632.00000,0.43973,21.00000,3.48965,0.18246,21.00000,max
CTG-mod-norm,dchperceptron,2126.00000,21.00000,0.18247,314.00000,44646.00000,20764.00000,0.46508,21.00000,3.90640,0.18246,21.00000,max
CTG-mod-norm,dp,2126.00000,21.00000,0.18247,966.00000,44646.00000,21446.00000,0.48036,1.00000,1.00000,0.09953,1.00000,mean
CTG-mod-norm,dl,2126.00000,21.00000,0.18247,288.00000,44646.00000,11562.00000,0.25897,2.00000,1.86453,0.15732,2.00000,mean
CTG-mod-norm,dch,2126.00000,21.00000,0.18247,86.00000,44646.00000,56886.00000,1.27416,14.00000,13.47413,0.18238,21.00000,mean
CTG-mod-norm,dchperceptron,2126.00000,21.00000,0.18247,77.00000,44646.00000,56940.00000,1.27537,14.00000,13.52916,0.18133,21.00000,mean
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,50.00000,44646.00000,17674.00000,0.39587,50.00000,7.81938,0.16625,50.00000,mean
wdbc-mod-norm,dp,569.00000,30.00000,0.32456,329.00000,17070.00000,10110.00000,0.59227,1.00000,1.00000,0.32430,1.00000,max
wdbc-mod-norm,dl,569.00000,30.00000,0.32456,106.00000,17070.00000,4569.00000,0.26766,2.00000,1.81371,0.32356,2.00000,max
wdbc-mod-norm,dch,569.00000,30.00000,0.32456,61.00000,17070.00000,4260.00000,0.24956,27.00000,2.68893,0.32453,30.00000,max
wdbc-mod-norm,dchperceptron,569.00000,30.00000,0.32456,60.00000,17070.00000,4411.00000,0.25841,18.00000,2.84710,0.32456,30.00000,max
wdbc-mod-norm,dp,569.00000,30.00000,0.32456,222.00000,17070.00000,7007.00000,0.41049,1.00000,1.00000,0.19676,1.00000,mean
wdbc-mod-norm,dl,569.00000,30.00000,0.32456,38.00000,17070.00000,2733.00000,0.16011,2.00000,1.93322,0.30113,2.00000,mean
wdbc-mod-norm,dch,569.00000,30.00000,0.32456,20.00000,17070.00000,8835.00000,0.51757,8.00000,7.75395,0.32207,30.00000,mean
wdbc-mod-norm,dchperceptron,569.00000,30.00000,0.32456,18.00000,17070.00000,13213.00000,0.77405,12.00000,11.65202,0.32396,30.00000,mean
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,50.00000,17070.00000,2721.00000,0.15940,50.00000,2.14587,0.29477,50.00000,mean
mnist1,dp,1000.00000,784.00000,5.47235,723.00000,784000.00000,567109.00000,0.72335,1.00000,1.00000,5.47100,1.00000,max
mnist1,dl,1000.00000,784.00000,5.47235,408.00000,784000.00000,321648.00000,0.41027,2.00000,1.59200,5.47183,2.00000,max
mnist1,dch,1000.00000,784.00000,5.47235,187.00000,784000.00000,150055.00000,0.19140,10.00000,2.31700,5.47195,10.00000,max
mnist1,dchperceptron,1000.00000,784.00000,5.47235,190.00000,784000.00000,153658.00000,0.19599,10.00000,2.94400,5.47211,10.00000,max
mnist1,dp,1000.00000,784.00000,5.47235,473.00000,784000.00000,371359.00000,0.47367,1.00000,1.00000,2.88230,1.00000,mean
mnist1,dl,1000.00000,784.00000,5.47235,211.00000,784000.00000,167791.00000,0.21402,2.00000,1.78900,4.31279,2.00000,mean
mnist1,dch,1000.00000,784.00000,5.47235,76.00000,784000.00000,64200.00000,0.08189,3.00000,2.84600,5.30769,10.00000,mean
mnist1,dchperceptron,1000.00000,784.00000,5.47235,81.00000,784000.00000,68095.00000,0.08686,3.00000,2.83600,5.46622,10.00000,mean
mnist1,KSVD,1000.00000,784.00000,5.47235,50.00000,784000.00000,48634.00000,0.06203,50.00000,9.43400,4.63440,50.00000,mean
20newsgroups1000_1,dp,1500.00000,1000.00000,1.39562,988.00000,1500000.00000,988512.00000,0.65901,1.00000,1.00000,1.39552,1.00000,max
20newsgroups1000_1,dch,1500.00000,1000.00000,1.39562,587.00000,1500000.00000,590983.00000,0.39399,10.00000,2.02333,1.39554,10.00000,max
20newsgroups1000_1,dchperceptron,1500.00000,1000.00000,1.39562,572.00000,1500000.00000,575870.00000,0.38391,10.00000,1.98067,1.39559,10.00000,max
