Dataset name,Algorithm,No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost,Max sparsity(m)
iono-mod-norm,dp,351,34,0.70972,161,11934,5664,0.47461,1,0.00621,0.27095,1
iono-mod-norm,dl,351,34,0.70972,120,11934,4773,0.39995,2,0.01382,0.31037,2
iono-mod-norm,dch,351,34,0.70972,95,11934,3486,0.29211,1,0.01053,0.53043,34
CTG-mod-norm,dch,2126,21,0.18247,346,44646,12606,0.28235,2,0.00531,0.17105,21
wdbc-mod-norm,dch,569,30,0.32456,61,17070,3354,0.19649,2,0.03103,0.28261,30
iono-mod-norm,dchperceptron,351,34,0.70972,94,11934,3453,0.28934,1,0.01064,0.69677,34
CTG-mod-norm,dchperceptron,2126,21,0.18247,314,44646,12030,0.26945,3,0.00861,0.16784,21
wdbc-mod-norm,dchperceptron,569,30,0.32456,60,17070,2818,0.16508,2,0.03158,0.31835,30
iono-mod-norm,dch,351,34,0.70972,95,11934,3486,0.29211,1,0.01053,0.53043,34
CTG-mod-norm,dch,2126,21,0.18247,346,44646,12606,0.28235,2,0.00531,0.17105,21
wdbc-mod-norm,dch,569,30,0.32456,61,17070,3354,0.19649,2,0.03103,0.28261,30
iono-mod-norm,dch,351,34,0.70972,95,11934,3486,0.29211,1,0.01053,0.53043,34
CTG-mod-norm,dch,2126,21,0.18247,346,44646,12606,0.28235,2,0.00531,0.17105,21
wdbc-mod-norm,dch,569,30,0.32456,61,17070,3354,0.19649,2,0.03103,0.28261,30
iono-mod-norm,dchperceptron,351,34,0.70972,94,11934,3453,0.28934,1,0.01064,0.69677,34
CTG-mod-norm,dchperceptron,2126,21,0.18247,314,44646,12030,0.26945,3,0.00861,0.16784,21
wdbc-mod-norm,dchperceptron,569,30,0.32456,60,17070,2818,0.16508,2,0.03158,0.31835,30
iono-mod-norm,dl,351,34,0.70972,120,11934,4773,0.39995,2,0.01382,0.31037,2
CTG-mod-norm,dl,2126,21,0.18247,628,44646,17682,0.39605,2,0.00271,0.08639,2
wdbc-mod-norm,dl,569,30,0.32456,106,17070,4569,0.26766,2,0.01711,0.18908,2
iono-mod-norm,dp,351,34,0.70972,161,11934,5664,0.47461,1,0.00621,0.27095,1
CTG-mod-norm,dp,2126,21,0.18247,1417,44646,30466,0.68239,1,0.00071,0.04182,1
wdbc-mod-norm,dp,569,30,0.32456,329,17070,10110,0.59227,1,0.00304,0.11313,1
iono-mod-norm,dp,351,34,0.70972,161,11934,5664,0.47461,1,0.00621,0.27095,1
CTG-mod-norm,dp,2126,21,0.18247,1417,44646,30466,0.68239,1,0.00071,0.04182,1
wdbc-mod-norm,dp,569,30,0.32456,329,17070,10110,0.59227,1,0.00304,0.11313,1
mnist1,dp,1000,784,5.47235,723,784000,567109,0.72335,1,0.00138,1.23875,1
mnist1,dch,1000,784,5.47235,187,784000,147421,0.18804,1,0.00535,4.72191,10
mnist1,dchperceptron,1000,784,5.47235,190,784000,150580,0.19207,2,0.00953,4.63309,10
mnist1,dch,1000,784,5.47235,187,784000,147421,0.18804,1,0.00535,4.72191,10
mnist1,dchperceptron,1000,784,5.47235,190,784000,150580,0.19207,2,0.00953,4.63309,10
mnist1,dch,1000,784,5.47235,225,784000,177175,0.22599,1,0.00444,4.40034,5
mnist1,dchperceptron,1000,784,5.47235,232,784000,182656,0.23298,1,0.00431,5.20185,5
mnist2,dp,2000,784,5.0458,1489,1568000,1167887,0.74483,1,0.00067,1.02334,1
mnist2,dch,2000,784,5.0458,406,1568000,319898,0.20402,1,0.00246,4.2322,10
mnist2,dchperceptron,2000,784,5.0458,393,1568000,311326,0.19855,2,0.00459,4.15171,10
