Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),# neighbours,error
mnist2,dp-max,2000.00000,784.00000,5.24113,1435.00000,1.00000,3.53982,
mnist2,dch-max,2000.00000,784.00000,5.24113,325.00000,1.00000,30.26866,
mnist2,dchperceptron-max,2000.00000,784.00000,5.24113,319.00000,1.00000,30.81499,
mnist2,dl-max,2000.00000,784.00000,5.24113,753.00000,1.00000,19.32638,
mnist2,dp-mean,2000.00000,784.00000,5.24113,971.00000,1.00000,7.48299,
mnist2,dl-mean,2000.00000,784.00000,5.24113,378.00000,1.00000,24.10604,
mnist2,dch-mean,2000.00000,784.00000,5.24113,127.00000,1.00000,31.28671,
mnist2,dchperceptron-mean,2000.00000,784.00000,5.24113,131.00000,1.00000,34.18941,
mnist2,dch-max,2000.00000,784.00000,5.24113,325.00000,-1.00000,31.64179,
mnist2,dchperceptron-max,2000.00000,784.00000,5.24113,319.00000,-1.00000,90.54134,
mnist2,dch-mean,2000.00000,784.00000,5.24113,127.00000,-1.00000,38.65456,
mnist2,dchperceptron-mean,2000.00000,784.00000,5.24113,131.00000,-1.00000,90.31568,
mnist2,dp-max,2000.00000,784.00000,5.24113,1435.00000,5.00000,2.65487,
mnist2,dch-max,2000.00000,784.00000,5.24113,325.00000,5.00000,30.56716,
mnist2,dchperceptron-max,2000.00000,784.00000,5.24113,319.00000,5.00000,32.30220,
mnist2,dl-max,2000.00000,784.00000,5.24113,753.00000,5.00000,17.56215,
mnist2,dp-mean,2000.00000,784.00000,5.24113,971.00000,5.00000,8.35763,
mnist2,dl-mean,2000.00000,784.00000,5.24113,378.00000,5.00000,25.64735,
mnist2,dch-mean,2000.00000,784.00000,5.24113,127.00000,5.00000,37.42659,
mnist2,dchperceptron-mean,2000.00000,784.00000,5.24113,131.00000,5.00000,36.59711,
mnist2,dch-max,2000.00000,784.00000,5.24113,325.00000,-1.00000,42.50746,variable sparsity
mnist2,dchperceptron-max,2000.00000,784.00000,5.24113,319.00000,-1.00000,89.53004,variable sparsity
mnist2,dch-max,2000.00000,784.00000,5.24113,325.00000,-1.00000,31.16418,variable sparsity+1NN using recon point
mnist2,dchperceptron-max,2000.00000,784.00000,5.24113,319.00000,-1.00000,35.99048,variable sparsity+1NN using recon point
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,1.00000,1.25196,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,1.00000,12.07450,
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,1.00000,11.19593,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,1.00000,5.78231,
mnist2-deskewed,dp-mean,2000.00000,784.00000,4.40851,973.00000,1.00000,4.18695,
mnist2-deskewed,dl-mean,2000.00000,784.00000,4.40851,384.00000,1.00000,11.32426,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,1.00000,19.39227,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,1.00000,19.56882,
mnist2-deskewed,dp-max,2000.00000,784.00000,4.40851,1361.00000,5.00000,0.93897,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,5.00000,4.16667,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,5.00000,8.47784,
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,5.00000,8.58779,
mnist2-deskewed,dp-mean,2000.00000,784.00000,4.40851,973.00000,5.00000,6.71860,
mnist2-deskewed,dl-mean,2000.00000,784.00000,4.40851,384.00000,5.00000,12.62376,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,5.00000,21.43646,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,5.00000,22.49862,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,-1.00000,21.32306,variable sparsity
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,-1.00000,87.21374,variable sparsity
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,-1.00000,20.33149,variable sparsity
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,-1.00000,90.10503,variable sparsity
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,-1.00000,12.26718,variable sparsity+1NN using recon point
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,-1.00000,15.45802,variable sparsity+1NN using recon point
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,-1.00000,87.84530,variable sparsity+1NN using recon point
