Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory1,Final memory2,Compression ratio1,Compression ratio2,Max actual sparsity,Sparsity coeff,Final cost,Max allowed sparsity(m),Stopping criterion
iono-mod-norm,dp,351.00000,34.00000,0.70972,161.00000,11934.00000,5664.00000,5825.00000,0.47461,0.48810,1.00000,1.00000,0.70232,1.00000,max
iono-mod-norm,dl,351.00000,34.00000,0.70972,120.00000,11934.00000,4773.00000,4662.00000,0.39995,0.39065,2.00000,1.65812,0.70867,2.00000,max
iono-mod-norm,dch,351.00000,34.00000,0.70972,95.00000,11934.00000,4488.00000,4082.00000,0.37607,0.34205,22.00000,2.42735,0.70924,34.00000,max
iono-mod-norm,dchperceptron,351.00000,34.00000,0.70972,94.00000,11934.00000,4397.00000,4019.00000,0.36844,0.33677,16.00000,2.34473,0.70972,34.00000,max
iono-mod-norm,dp,351.00000,34.00000,0.70972,129.00000,11934.00000,4608.00000,4737.00000,0.38612,0.39693,1.00000,1.00000,0.43046,1.00000,mean
iono-mod-norm,dl,351.00000,34.00000,0.70972,73.00000,11934.00000,3316.00000,3111.00000,0.27786,0.26068,2.00000,1.79202,0.56023,2.00000,mean
iono-mod-norm,dch,351.00000,34.00000,0.70972,34.00000,11934.00000,4009.00000,2775.00000,0.33593,0.23253,5.00000,4.61254,0.70400,34.00000,mean
iono-mod-norm,dchperceptron,351.00000,34.00000,0.70972,34.00000,11934.00000,5277.00000,3409.00000,0.44218,0.28565,7.00000,6.41880,0.70221,34.00000,mean
iono-mod-norm,KSVD,351.00000,34.00000,0.70972,50.00000,11934.00000,5216.00000,3458.00000,0.43707,0.28976,50.00000,5.00855,0.47261,50.00000,mean
CTG-mod-norm,dp,2126.00000,21.00000,0.18247,1417.00000,44646.00000,30466.00000,31883.00000,0.68239,0.71413,1.00000,1.00000,0.18228,1.00000,max
