Dataset name,Algorithm,No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost,Max sparsity(m),Stopping criterion
iono-mod-norm,dp,351,34,0.70972,161,11934,5664,0.47461,1,0.00621,0.70232,1,max
iono-mod-norm,dp,351,34,0.70972,129,11934,4608,0.38612,1,0.00775,0.43046,1,mean
iono-mod-norm,dl,351,34,0.70972,120,11934,4773,0.39995,2,0.01382,0.70867,2,max
iono-mod-norm,dl,351,34,0.70972,73,11934,3316,0.27786,2,0.02455,0.56023,2,mean
iono-mod-norm,dch,351,34,0.70972,95,11934,13726,1.15016,21,0.16407,0.25453,34,max
iono-mod-norm,dch,351,34,0.70972,34,11934,3375,0.28281,4,0.1091,0.704,34,mean
iono-mod-norm,dchperceptron,351,34,0.70972,94,11934,7308,0.61237,16,0.12748,0.25888,34,max
iono-mod-norm,dchperceptron,351,34,0.70972,34,11934,3375,0.28281,7,0.18879,0.70221,34,mean
CTG-mod-norm,dp,2126,21,0.18247,1417,44646,30466,0.68239,1,0.00071,0.18228,1,max
CTG-mod-norm,dp,2126,21,0.18247,966,44646,21446,0.48036,1,0.00104,0.09953,1,mean
CTG-mod-norm,dl,2126,21,0.18247,628,44646,17682,0.39605,2,0.00271,0.18243,2,max
CTG-mod-norm,dl,2126,21,0.18247,288,44646,11562,0.25897,2,0.00647,0.15732,2,mean
CTG-mod-norm,dch,2126,21,0.18247,346,44646,80246,1.79738,21,0.05129,0.08672,21,max
CTG-mod-norm,dch,2126,21,0.18247,86,44646,56886,1.27416,14,0.15668,0.18238,21,mean
CTG-mod-norm,dchperceptron,2126,21,0.18247,314,44646,44646,1,21,0.05747,0.08503,21,max
CTG-mod-norm,dchperceptron,2126,21,0.18247,77,44646,30303,0.67874,14,0.1757,0.18133,21,mean
wdbc-mod-norm,dp,569,30,0.32456,329,17070,10110,0.59227,1,0.00304,0.3243,1,max
wdbc-mod-norm,dp,569,30,0.32456,222,17070,7007,0.41049,1,0.0045,0.19676,1,mean
wdbc-mod-norm,dl,569,30,0.32456,106,17070,4569,0.26766,2,0.01711,0.32356,2,max
wdbc-mod-norm,dl,569,30,0.32456,38,17070,2733,0.16011,2,0.05087,0.30113,2,mean
wdbc-mod-norm,dch,569,30,0.32456,61,17070,28754,1.68448,27,0.39693,0.16232,30,max
wdbc-mod-norm,dch,569,30,0.32456,20,17070,8835,0.51757,8,0.3877,0.32207,30,mean
wdbc-mod-norm,dchperceptron,569,30,0.32456,60,17070,10962,0.64218,18,0.27012,0.16064,30,max
wdbc-mod-norm,dchperceptron,569,30,0.32456,18,17070,7152,0.41898,12,0.64733,0.32396,30,mean
mnist1,dp,1000,784,5.47235,723,784000,567109,0.72335,1,0.00138,5.471,10,max
mnist1,dp,1000,784,5.47235,473,784000,371359,0.47367,1,0.00211,2.8823,10,mean
mnist1,dch,1000,784,5.47235,187,784000,162055,0.2067,10,0.04448,3.92145,10,max
mnist1,dch,1000,784,5.47235,76,784000,64204,0.08189,3,0.03747,5.30769,10,mean
mnist1,dchperceptron,1000,784,5.47235,190,784000,157060,0.20033,10,0.04363,3.91239,10,max
mnist1,dchperceptron,1000,784,5.47235,81,784000,66261,0.08452,3,0.03504,5.46622,10,mean
mnist2,dp,2000,784,5.0458,1489,1568000,1167887,0.74483,1,0.00067,5.04032,10,max
mnist2,dp,2000,784,5.0458,1072,1568000,841376,0.53659,1,0.00093,2.31934,10,mean
mnist2,dch,2000,784,5.0458,406,1568000,348590,0.22232,10,0.02013,3.46658,10,max
mnist2,dch,2000,784,5.0458,181,1568000,150999,0.0963,3,0.01557,4.87267,10,mean
mnist2,dchperceptron,2000,784,5.0458,393,1568000,324182,0.20675,10,0.02095,3.4836,10,max
mnist2,dchperceptron,2000,784,5.0458,178,1568000,146840,0.09365,4,0.02097,4.85815,10,mean
