Dataset name,Algorithm,No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost,Max sparsity(m),
iono-mod-norm,dch,351,34,0.70972,95,11934,13726,1.15016,21,1.80342,0.70924,34,max
iono-mod-norm,dch,351,34,0.70972,95,11934,4050,0.33937,21,1.80342,0.70924,34,max
iono-mod-norm,dch,351,34,0.70972,34,11934,1992,0.16692,Inf,Inf,0.72346,34,mean
iono-mod-norm,dchperceptron,351,34,0.70972,94,11934,4397,0.36844,16,2.34473,0.70972,34,max
iono-mod-norm,dchperceptron,351,34,0.70972,34,11934,2702,0.22641,Inf,Inf,0.73814,34,mean
iono-mod-norm,dch,351,34,0.70972,95,11934,4050,0.33937,21,1.80342,0.70924,34,max
iono-mod-norm,dch,351,34,0.70972,34,11934,1992,0.16692,34,12.33333,0.72346,34,mean
iono-mod-norm,dchperceptron,351,34,0.70972,94,11934,4397,0.36844,16,2.34473,0.70972,34,max
iono-mod-norm,dchperceptron,351,34,0.70972,34,11934,2702,0.22641,34,13.34473,0.73814,34,mean
iono-mod-norm,dch,351,34,0.70972,95,11934,4050,0.33937,21,1.80342,0.70924,34,max
iono-mod-norm,dch,351,34,0.70972,34,11934,1122,0.09402,4,4,0.704,34,mean
iono-mod-norm,dchperceptron,351,34,0.70972,94,11934,4397,0.36844,16,2.34473,0.70972,34,max
iono-mod-norm,dchperceptron,351,34,0.70972,34,11934,1122,0.09402,7,7,0.70221,34,mean
iono-mod-norm,dch,351,34,0.70972,95,11934,4050,0.33937,21,1.80342,0.70924,34,max
iono-mod-norm,dch,351,34,0.70972,34,11934,1156,0.09687,4,3.7094,0.704,34,mean
iono-mod-norm,dchperceptron,351,34,0.70972,94,11934,4397,0.36844,16,2.34473,0.70972,34,max
iono-mod-norm,dchperceptron,351,34,0.70972,34,11934,1156,0.09687,7,6.4188,0.70221,34,mean
CTG-mod-norm,dch,2126,21,0.18247,346,44646,19632,0.43973,21,3.48965,0.18246,21,max
CTG-mod-norm,dch,2126,21,0.18247,86,44646,1806,0.04045,14,13.47413,0.18238,21,mean
CTG-mod-norm,dchperceptron,2126,21,0.18247,314,44646,20764,0.46508,21,3.9064,0.18246,21,max
CTG-mod-norm,dchperceptron,2126,21,0.18247,77,44646,1617,0.03622,14,13.52916,0.18133,21,mean
wdbc-mod-norm,dch,569,30,0.32456,61,17070,4260,0.24956,27,2.68893,0.32453,30,max
wdbc-mod-norm,dch,569,30,0.32456,20,17070,600,0.03515,8,7.75395,0.32207,30,mean
wdbc-mod-norm,dchperceptron,569,30,0.32456,60,17070,4411,0.25841,18,2.8471,0.32456,30,max
wdbc-mod-norm,dchperceptron,569,30,0.32456,18,17070,540,0.03163,12,11.65202,0.32396,30,mean
mnist1,dch,1000,784,5.47235,187,784000,150055,0.1914,10,2.317,5.47195,10,max
mnist1,dch,1000,784,5.47235,76,784000,59600,0.07602,3,2.846,5.30769,10,mean
mnist1,dchperceptron,1000,784,5.47235,190,784000,153658,0.19599,10,2.944,5.47211,10,max
mnist1,dchperceptron,1000,784,5.47235,81,784000,63505,0.081,3,2.836,5.46622,10,mean
