Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Max actual sparsity,Sparsity coeff,Final cost,Max allowed sparsity(m),Stopping criterion
iono-mod-norm,KSVD,351.00000,34.00000,0.70972,10.00000,11934.00000,1925.00000,0.16130,10.00000,4.51567,0.70826,10.00000,mean
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,10.00000,17070.00000,2269.00000,0.13292,10.00000,3.46046,0.27310,10.00000,mean
mnist1,KSVD,1000.00000,784.00000,5.47235,10.00000,784000.00000,13081.00000,0.01668,10.00000,5.24100,5.46913,10.00000,mean
iono-mod-norm,KSVD,351.00000,34.00000,0.70972,50.00000,11934.00000,3458.00000,0.28976,50.00000,5.00855,0.47261,50.00000,mean
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,50.00000,44646.00000,17674.00000,0.39587,50.00000,7.81938,0.16625,50.00000,mean
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,50.00000,17070.00000,2721.00000,0.15940,50.00000,2.14587,0.29477,50.00000,mean
mnist1,KSVD,1000.00000,784.00000,5.47235,50.00000,784000.00000,48634.00000,0.06203,50.00000,9.43400,4.63440,50.00000,mean
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,100.00000,44646.00000,12471.00000,0.27933,100.00000,4.87817,0.15581,100.00000,mean
wdbc-mod-norm,KSVD,569.00000,30.00000,0.32456,100.00000,17070.00000,3814.00000,0.22343,100.00000,1.43058,0.31664,100.00000,mean
mnist1,KSVD,1000.00000,784.00000,5.47235,100.00000,784000.00000,82647.00000,0.10542,100.00000,4.24700,4.41523,100.00000,mean
20newsgroups1000_1,KSVD,1500.00000,1000.00000,1.39562,100.00000,1500000.00000,156512.00000,0.10434,100.00000,37.67467,1.27822,100.00000,mean
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,150.00000,44646.00000,11721.00000,0.26253,150.00000,4.03151,0.14922,150.00000,mean
mnist1,KSVD,1000.00000,784.00000,5.47235,150.00000,784000.00000,120707.00000,0.15396,150.00000,3.10700,4.30798,150.00000,mean
20newsgroups1000_1,KSVD,1500.00000,1000.00000,1.39562,150.00000,1500000.00000,209400.00000,0.13960,150.00000,39.60000,1.18375,150.00000,mean
CTG-mod-norm,KSVD,2126.00000,21.00000,0.18247,200.00000,44646.00000,11410.00000,0.25557,200.00000,3.39135,0.16437,200.00000,mean
mnist1,KSVD,1000.00000,784.00000,5.47235,200.00000,784000.00000,159129.00000,0.20297,200.00000,2.32900,4.49700,200.00000,mean
20newsgroups1000_1,KSVD,1500.00000,1000.00000,1.39562,200.00000,1500000.00000,252430.00000,0.16829,200.00000,34.95333,1.11745,200.00000,mean
